Data;Descricao;Receita;Despesas;Saldo;Categoria
14/12/2025;Receita de Venda de Curso;R$ 2.500,00;;R$ 99.702,54;Vendas
15/12/2025;Despesa com Frete e Correios;;R$ 120,00;R$ 99.582,54;Despesas Diversas
16/12/2025;Venda de Serviços (Cliente N);R$ 9.800,00;;R$ 109.382,54;Vendas
17/12/2025;Reembolso de Despesas (Rec Teste);;R$ 80,00;R$ 109.302,54;Reembolso
18/12/2025;Payroll - Junior Pires Mendes (13º);;R$ 3.946,74;R$ 105.355,80;Folha de Pagamento
19/12/2025;Recebimento de Adiantamento (Cliente O);R$ 4.000,00;;R$ 109.355,80;Vendas
20/12/2025;Despesa com Hospedagem de Servidor;;R$ 280,00;R$ 109.075,80;Serviços
21/12/2025;Venda de Serviços (Cliente P);R$ 16.500,00;;R$ 125.575,80;Vendas
22/12/2025;Payroll - Teste Ferreira Lima (13º);;R$ 3.215,50;R$ 122.360,30;Folha de Pagamento
23/12/2025;Despesa com Bônus Natalino;;R$ 2.000,00;R$ 120.360,30;Benefícios
24/12/2025;Receita de Projeto Concluído (Cliente Q);R$ 28.000,00;;R$ 148.360,30;Vendas
25/12/2025;Doação de Caridade (Despesa);;R$ 500,00;R$ 147.860,30;Despesas Diversas
26/12/2025;Venda de Serviços (Cliente R);R$ 7.200,00;;R$ 155.060,30;Vendas
27/12/2025;Pagamento de Seguros Anuais;;R$ 4.800,00;R$ 150.260,30;Despesas Fixas
28/12/2025;Payroll - Samara Costa (CSO - 13º);;R$ 15.750,00;R$ 134.510,30;Folha de Pagamento
29/12/2025;Receita de Venda de Estoque Antigo;R$ 1.200,00;;R$ 135.710,30;Outros
30/12/2025;Despesa com Consultoria Fiscal;;R$ 1.500,00;R$ 134.210,30;Serviços
31/12/2025;Venda de Serviços (Cliente S);R$ 13.500,00;;R$ 147.710,30;Vendas
01/01/2026;Aluguel de Janeiro/2026;;R$ 3.600,00;R$ 144.110,30;Despesas Fixas
02/01/2026;Venda de Serviços (Cliente T);R$ 17.000,00;;R$ 161.110,30;Vendas
03/01/2026;Manutenção Preventiva de Equipamentos;;R$ 900,00;R$ 160.210,30;Serviços
04/01/2026;Receita de Patrocínio (Investimento);R$ 5.000,00;;R$ 165.210,30;Investimentos
05/01/2026;Despesa com Treinamento de Equipe;;R$ 1.800,00;R$ 163.410,30;Benefícios
06/01/2026;Venda de Serviços (Cliente U);R$ 14.800,00;;R$ 178.210,30;Vendas
07/01/2026;Pagamento de Energia Elétrica (Janeiro);;R$ 450,00;R$ 177.760,30;Despesas Fixas
08/01/2026;Payroll - Davi Lopes Brito (Janeiro);;R$ 16.050,00;R$ 161.710,30;Folha de Pagamento
09/01/2026;Compra de Material de Escritório;;R$ 300,00;R$ 161.410,30;Materiais
10/01/2026;Venda de Serviços (Cliente V);R$ 21.000,00;;R$ 182.410,30;Vendas
11/01/2026;Taxas de Processamento de Vendas;;R$ 150,00;R$ 182.260,30;Despesas Bancárias
12/01/2026;Receita de Consultoria (Cliente X);R$ 7.900,00;;R$ 190.160,30;Vendas
13/01/2026;Despesa com Campanhas de Marketing;;R$ 2.200,00;R$ 187.960,30;Marketing
14/01/2026;Payroll - Bruno Silva (Janeiro);;R$ 4.700,00;R$ 183.260,30;Folha de Pagamento
15/01/2026;Venda de Serviços (Cliente Y);R$ 18.500,00;;R$ 201.760,30;Vendas
16/01/2026;Pagamento de Telefone/Internet;;R$ 190,00;R$ 201.570,30;Despesas Fixas
17/01/2026;Receita de Royalties;R$ 1.000,00;;R$ 202.570,30;Outros
18/01/2026;Despesa com Limpeza (Serviço Terceirizado);;R$ 650,00;R$ 201.920,30;Serviços
19/01/2026;Venda de Serviços (Cliente Z);R$ 11.800,00;;R$ 213.720,30;Vendas
20/01/2026;Payroll - Ricardo Rian (Janeiro);;R$ 16.050,00;R$ 197.670,30;Folha de Pagamento
21/01/2026;Recebimento de Adiantamento (Cliente AA);R$ 3.500,00;;R$ 201.170,30;Vendas
22/01/2026;Compra de Hardware Novo;;R$ 5.000,00;R$ 196.170,30;Investimento Fixo
23/01/2026;Venda de Serviços (Cliente BB);R$ 14.000,00;;R$ 210.170,30;Vendas
24/01/2026;Despesa com Suprimentos de Cozinha;;R$ 120,00;R$ 210.050,30;Materiais
25/01/2026;Payroll - Valquiria Machado (Janeiro);;R$ 15.100,00;R$ 194.950,30;Folha de Pagamento
26/01/2026;Receita de Venda de Módulo (Software);R$ 9.500,00;;R$ 204.450,30;Vendas
27/01/2026;Despesa com Evento Corporativo (Ano Novo);;R$ 1.800,00;R$ 202.650,30;Marketing
28/01/2026;Venda de Serviços (Cliente CC);R$ 16.000,00;;R$ 218.650,30;Vendas
29/01/2026;Despesa com Reembolso de Quilometragem;;R$ 210,00;R$ 218.440,30;Reembolso
30/01/2026;Receita de Venda de Assinatura;R$ 4.200,00;;R$ 222.640,30;Vendas
31/01/2026;Pagamento de Contas Diversas;;R$ 330,00;R$ 222.310,30;Despesas Fixas
01/02/2026;Aluguel de Fevereiro/2026;;R$ 3.600,00;R$ 218.710,30;Despesas Fixas
02/02/2026;Venda de Serviços (Cliente DD);R$ 19.000,00;;R$ 237.710,30;Vendas
03/02/2026;Pagamento de Fornecedor (Software);;R$ 2.500,00;R$ 235.210,30;Serviços
04/02/2026;Receita de Consultoria (Cliente EE);R$ 10.000,00;;R$ 245.210,30;Vendas
05/02/2026;Payroll - Davi Lopes Brito (Fevereiro);;R$ 16.050,00;R$ 229.160,30;Folha de Pagamento
06/02/2026;Compra de Equipamento (TI);;R$ 7.000,00;R$ 222.160,30;Investimento Fixo
07/02/2026;Venda de Serviços (Cliente FF);R$ 13.500,00;;R$ 235.660,30;Vendas
08/02/2026;Despesa com Viagem (Gestor Teste);;R$ 1.200,00;R$ 234.460,30;Reembolso
